PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,TEAM,Price,TYPE
Maheesh Theekshana,7,9,2,1,7*,7.00,7,100.0,0,0,0,1,2022,CSK,3000000.0,Bowler
Simarjeet Singh,7,6,3,2,3*,7.00,8,87.5,0,0,0,0,2022,CSK,43500000.0,Bowler
Mukesh Choudhary,6,13,2,1,4,6.00,6,100.0,0,0,1,0,2022,CSK,40500000.0,Bowler
Prasidh Krishna,6,17,3,2,4*,6.00,12,50.0,0,0,0,0,2022,RR,100000000.0,Bowler
Lockie Ferguson,5,13,3,1,5,2.50,4,125.0,0,0,1,0,2022,GT,100000000.0,Bowler
Alzarri Joseph,5,9,3,2,4*,5.00,7,71.42,0,0,0,0,2022,GT,24000000.0,Bowler
Yuzvendra Chahal,5,17,2,1,5,5.00,8,62.5,0,0,0,0,2022,RR,65000000.0,Bowler
Vaibhav Arora,5,5,4,2,2*,2.50,13,38.46,0,0,0,0,2022,PBKS,20000000.0,Bowler
Mustafizur Rahman,3,8,1,1,3*,-,5,60.0,0,0,0,0,2022,DC,17400000.0,Bowler
Navdeep Saini,2,2,1,0,2,2.00,2,100.0,0,0,0,0,2022,RR,26000000.0,Bowler
Fazalhaq Farooqi,2,3,1,1,2*,-,8,25.0,0,0,0,0,2022,SRH,5000000.0,Bowler
Jagadeesha Suchith,2,5,2,0,2,1.00,8,25.0,0,0,0,0,2022,SRH,2000000.0,Bowler
Tim Southee,2,9,5,1,1*,0.50,12,16.66,0,0,0,0,2022,KKR,15000000.0,Bowler
Nathan Coulter-Nile,1,1,1,1,1*,-,2,50.0,0,0,0,0,2022,RR,20000000.0,Bowler
Piyush Chawla,25,16,4,2,18,12.50,22,113.63,0,0,1,1,2023,MI,5000000.0,Bowler
Adil Rashid,22,2,2,0,18,11.00,16,137.5,0,0,2,1,2023,SRH,20000000.0,Bowler
Mayank Markande,21,10,3,3,18*,-,13,161.53,0,0,2,1,2023,SRH,5000000.0,Bowler
Amit Mishra,19,7,1,0,19,19.00,30,63.33,0,0,2,0,2023,LSG,6000000.0,Bowler
Akeal Hosein,16,1,1,1,16*,-,10,160.0,0,0,1,1,2023,SRH,10000000.0,Bowler
Adam Zampa,10,6,3,0,7,3.33,16,62.5,0,0,0,0,2023,RR,15000000.0,Bowler
Jaydev Unadkat,9,3,1,0,9,9.00,7,128.57,0,0,1,0,2023,LSG,25500000.0,Bowler
Mukesh Kumar,7,10,3,3,6*,-,9,77.77,0,0,0,0,2023,DC,3000000.0,Bowler
Vaibhav Arora,3,5,2,2,2*,-,2,150.0,0,0,0,0,2023,KKR,12600000.0,Bowler
Ishant Sharma,1,8,1,1,1*,-,1,100.0,0,0,0,0,2023,DC,3000000.0,Bowler
Jaydev Unadkat,24,11,5,2,8*,8.00,26,92.3,0,0,2,1,2024,SRH,16000000.0,Bowler
Umesh Yadav,12,7,2,1,10*,12.00,15,80.0,0,0,0,1,2024,GT,43500000.0,Bowler
Mitchell Starc,9,14,5,3,6*,4.50,11,81.81,0,0,1,0,2024,KKR,1200000.0,Bowler
Spencer Johnson,6,5,3,3,5*,-,7,85.71,0,0,1,0,2024,GT,6000000.0,Bowler
Jhye Richardson,2,1,1,0,2,2.00,2,100.0,0,0,0,0,2024,DC,3000000.0,Bowler
Lockie Ferguson,1,7,1,0,1,1.00,1,100.0,0,0,0,0,2024,RCB,20000000.0,Bowler
Manav Suthar,1,1,1,0,1,1.00,2,50.0,0,0,0,0,2024,GT,12600000.0,Bowler
